"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"   11116"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     902"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"    1311"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     938"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"    1520"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"    1593"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     990"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"    2443"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"    1315"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"     104"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"    1561"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     107"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     127"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     115"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     216"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"     130"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     160"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     333"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     324"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      47"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"    1838"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     256"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     176"
"Totaal mannen en vrouwen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     173"
