"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"HoogstBehaaldOnderwijsniveau";"Perioden";"Bevolking_1"
"190";"T001038";"20150";"T001040";"2018710";"2003JJ00";"    1795"
"195";"T001038";"20150";"T001040";"2018710";"2004JJ00";"    1636"
"200";"T001038";"20150";"T001040";"2018710";"2005JJ00";"    1542"
"205";"T001038";"20150";"T001040";"2018710";"2006JJ00";"    1459"
"210";"T001038";"20150";"T001040";"2018710";"2007JJ00";"    1403"
"215";"T001038";"20150";"T001040";"2018710";"2008JJ00";"    1417"
"220";"T001038";"20150";"T001040";"2018710";"2009JJ00";"    1406"
"225";"T001038";"20150";"T001040";"2018710";"2010JJ00";"    1414"
"230";"T001038";"20150";"T001040";"2018710";"2011JJ00";"    1423"
"235";"T001038";"20150";"T001040";"2018710";"2012JJ00";"    1397"
"240";"T001038";"20150";"T001040";"2018710";"2013JJ00";"    1491"
"245";"T001038";"20150";"T001040";"2018710";"2014JJ00";"    1501"
"250";"T001038";"20150";"T001040";"2018710";"2015JJ00";"    1508"
"255";"T001038";"20150";"T001040";"2018710";"2016JJ00";"    1488"
"260";"T001038";"20150";"T001040";"2018710";"2017JJ00";"    1451"
"265";"T001038";"20150";"T001040";"2018710";"2018JJ00";"    1451"
"270";"T001038";"20150";"T001040";"2018710";"2019JJ00";"    1433"
"275";"T001038";"20150";"T001040";"2018710";"2020JJ00";"    1339"
"376";"T001038";"20150";"T001040";"2018720";"2003JJ00";"    3469"
"381";"T001038";"20150";"T001040";"2018720";"2004JJ00";"    3431"
"386";"T001038";"20150";"T001040";"2018720";"2005JJ00";"    3441"
"391";"T001038";"20150";"T001040";"2018720";"2006JJ00";"    3439"
"396";"T001038";"20150";"T001040";"2018720";"2007JJ00";"    3411"
"401";"T001038";"20150";"T001040";"2018720";"2008JJ00";"    3434"
"406";"T001038";"20150";"T001040";"2018720";"2009JJ00";"    3424"
"411";"T001038";"20150";"T001040";"2018720";"2010JJ00";"    3367"
"416";"T001038";"20150";"T001040";"2018720";"2011JJ00";"    3395"
"421";"T001038";"20150";"T001040";"2018720";"2012JJ00";"    3370"
"426";"T001038";"20150";"T001040";"2018720";"2013JJ00";"    3003"
