"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Onderwijs|Naar woonregio|Hoogstbehaald onderwijsniveau|Basisonderwijs, vmbo, mbo1";"Onderwijs|Naar woonregio|Hoogstbehaald onderwijsniveau|Havo, vwo, mbo2-4";"Onderwijs|Naar woonregio|Hoogstbehaald onderwijsniveau|Hbo, wo"
"Regio's";"Perioden";"%";"%";"%"
"Nederland";"2023";"26,1";"40,9";"33,1"
"Nederland";"2024";"25,9";"40,8";"33,3"
"Nederland";"2025";"";"";""
"Groningen (PV)";"2023";"23,5";"44,7";"31,8"
"Groningen (PV)";"2024";"23,5";"44,7";"31,9"
"Groningen (PV)";"2025";"";"";""
"Fryslân (PV)";"2023";"26,9";"46,8";"26,4"
"Fryslân (PV)";"2024";"26,6";"46,7";"26,6"
"Fryslân (PV)";"2025";"";"";""
"Drenthe (PV)";"2023";"27,2";"46,4";"26,4"
"Drenthe (PV)";"2024";"26,8";"46,3";"26,9"
"Drenthe (PV)";"2025";"";"";""
"Overijssel (PV)";"2023";"26,3";"44,6";"29,1"
"Overijssel (PV)";"2024";"26,0";"44,4";"29,6"
"Overijssel (PV)";"2025";"";"";""
"Flevoland (PV)";"2023";"27,3";"45,0";"27,7"
"Flevoland (PV)";"2024";"27,6";"44,5";"27,9"
"Flevoland (PV)";"2025";"";"";""
"Gelderland (PV)";"2023";"26,5";"41,8";"31,7"
"Gelderland (PV)";"2024";"26,0";"41,9";"32,1"
"Gelderland (PV)";"2025";"";"";""
"Utrecht (PV)";"2023";"22,4";"35,8";"41,8"
"Utrecht (PV)";"2024";"22,3";"35,5";"42,2"
"Utrecht (PV)";"2025";"";"";""
"Noord-Holland (PV)";"2023";"23,8";"37,2";"39,0"
"Noord-Holland (PV)";"2024";"23,8";"37,1";"39,2"
"Noord-Holland (PV)";"2025";"";"";""
"Zuid-Holland (PV)";"2023";"27,3";"39,6";"33,1"
"Zuid-Holland (PV)";"2024";"27,2";"39,5";"33,3"
"Zuid-Holland (PV)";"2025";"";"";""
"Zeeland (PV)";"2023";"28,2";"46,8";"25,0"
"Zeeland (PV)";"2024";"28,8";"46,4";"24,9"
"Zeeland (PV)";"2025";"";"";""
"Noord-Brabant (PV)";"2023";"26,7";"41,3";"32,0"
"Noord-Brabant (PV)";"2024";"26,5";"41,2";"32,2"
"Noord-Brabant (PV)";"2025";"";"";""
"Limburg (PV)";"2023";"28,7";"42,7";"28,6"
"Limburg (PV)";"2024";"28,8";"42,7";"28,5"
"Limburg (PV)";"2025";"";"";""
"Bron: CBS"
